StockName,Funds
贵州茅台[600519],"前海开源国家比较优势,富国天惠成长LOF,易方达消费行业,银华富裕主题混合,中欧新蓝筹混合A,天弘中证食品饮料指数A,交银新成长混合,前海开源沪港深优势精选,景顺长城鼎益混合(LOF),汇添富蓝筹稳健混合,易方达中小盘混合,景顺长城新兴成长,招商中证白酒指数,汇添富消费行业混合,易方达蓝筹精选混合,汇添富成长焦点"
五粮液[000858],"前海开源国家比较优势,富国天惠成长LOF,易方达消费行业,中欧新蓝筹混合A,天弘中证食品饮料指数A,前海开源沪港深优势精选,景顺长城鼎益混合(LOF),汇添富蓝筹稳健混合,易方达中小盘混合,景顺长城新兴成长,招商中证白酒指数,汇添富消费行业混合,工银文体产业股票,易方达蓝筹精选混合,汇添富成长焦点"
海康威视[002415],"易方达新收益A,富国高新技术产业,交银新成长混合,兴全合宜混合（LOF）A,交银新生活力混合,景顺长城鼎益混合(LOF),兴全趋势,景顺长城新兴成长,工银文体产业股票,易方达蓝筹精选混合,中欧时代先锋,兴全合润混合"
宁德时代[300750],"前海开源国家比较优势,富国互联科技股票,富国高新技术产业,前海开源沪港深优势精选,银华中小盘精选混合,汇添富消费行业混合,工银文体产业股票,信达澳银新能源产业,中欧时代先锋"
药明康德[603259],"前海开源国家比较优势,中欧医疗健康混合A,易方达新收益A,银华富裕主题混合,景顺长城鼎益混合(LOF),工银养老产业股票,景顺长城新兴成长,工银文体产业股票"
泸州老窖[000568],"汇添富中盘价值精选混合C,易方达消费行业,天弘中证食品饮料指数A,景顺长城鼎益混合(LOF),景顺长城新兴成长,招商中证白酒指数,汇添富消费行业混合,易方达蓝筹精选混合"
迈瑞医疗[300760],"前海开源国家比较优势,中欧医疗健康混合A,广发稳健增长混合A类,景顺长城鼎益混合(LOF),汇添富蓝筹稳健混合,嘉实新兴产业,景顺长城新兴成长,汇添富成长焦点"
中国中免[601888],"前海开源国家比较优势,前海开源沪港深优势精选,景顺长城鼎益混合(LOF),汇添富蓝筹稳健混合,景顺长城新兴成长,汇添富消费行业混合,汇添富成长焦点"
山西汾酒[600809],"汇添富中盘价值精选混合C,易方达消费行业,银华富裕主题混合,天弘中证食品饮料指数A,景顺长城新兴成长,招商中证白酒指数,汇添富消费行业混合"
百润股份[002568],"汇添富中盘价值精选混合C,易方达消费行业,汇添富蓝筹稳健混合,易方达中小盘混合,汇添富消费行业混合,汇添富成长焦点"
三环集团[300408],"富国高新技术产业,交银新生活力混合,广发稳健增长混合A类,富国创新科技混合,交银优势行业混合"
韦尔股份[603501],"富国天惠成长LOF,富国互联科技股票,汇添富中盘价值精选混合C,银华中小盘精选混合,富国创新科技混合"
酒鬼酒[000799],"汇添富中盘价值精选混合C,银华富裕主题混合,天弘中证食品饮料指数A,招商中证白酒指数,汇添富消费行业混合"
腾讯控股[00700],"兴全合宜混合（LOF）A,前海开源沪港深优势精选,易方达亚洲精选,富国中国中小盘混合,易方达蓝筹精选混合"
比亚迪[002594],"前海开源国家比较优势,富国互联科技股票,富国高新技术产业,万家行业优选混合,信达澳银新能源产业"
通策医疗[600763],"前海开源国家比较优势,中欧医疗健康混合A,银华富裕主题混合,易方达中小盘混合,嘉实新兴产业"
伊利股份[600887],"富国天惠成长LOF,汇添富中盘价值精选混合C,天弘中证食品饮料指数A,工银文体产业股票"
安井食品[603345],"鹏华新兴产业混合,汇添富蓝筹稳健混合,汇添富消费行业混合,汇添富成长焦点"
分众传媒[002027],"富国高新技术产业,广发稳健增长混合A类,银华中小盘精选混合,富国创新科技混合"
古井贡酒[000596],"易方达消费行业,景顺长城鼎益混合(LOF),招商中证白酒指数,工银文体产业股票"
隆基股份[601012],"易方达新收益A,中欧新蓝筹混合A,鹏华新兴产业混合,广发小盘成长混合（LOF）"
福耀玻璃[600660],"易方达消费行业,中欧新蓝筹混合A,工银文体产业股票,中欧时代先锋"
亿纬锂能[300014],"前海开源国家比较优势,富国天惠成长LOF,前海开源沪港深优势精选,广发小盘成长混合（LOF）"
芒果超媒[300413],"汇添富中盘价值精选混合C,兴全合宜混合（LOF）A,交银新生活力混合,兴全合润混合"
立讯精密[002475],"汇添富蓝筹稳健混合,富国创新科技混合,汇添富成长焦点,中欧时代先锋"
紫金矿业[601899],"中欧新蓝筹混合A,广发稳健增长混合A类,兴全趋势"
华测检测[300012],"广发稳健增长混合A类,万家行业优选混合,嘉实新兴产业"
密尔克卫[603713],"鹏华新兴产业混合,汇添富蓝筹稳健混合,汇添富成长焦点"
视源股份[002841],"交银新成长混合,交银新生活力混合,交银优势行业混合"
招商银行[600036],"中欧新蓝筹混合A,工银战略转型股票,易方达蓝筹精选混合"
顾家家居[603816],"交银新成长混合,交银新生活力混合,交银优势行业混合"
科沃斯[603486],"富国高新技术产业,嘉实新兴产业,汇添富消费行业混合"
泰格医药[300347],"中欧医疗健康混合A,银华富裕主题混合,工银养老产业股票"
深信服[300454],"万家行业优选混合,嘉实新兴产业,中欧时代先锋"
兴业银行[601166],"工银战略转型股票,兴全合宜混合（LOF）A,兴全合润混合"
圣邦股份[300661],"万家行业优选混合,广发小盘成长混合（LOF）,嘉实新兴产业"
顺络电子[002138],"工银战略转型股票,富国高新技术产业,富国创新科技混合"
荣盛石化[002493],"交银新成长混合,交银新生活力混合,交银优势行业混合"
美团-W[03690],"易方达亚洲精选,富国中国中小盘混合,易方达蓝筹精选混合"
重庆啤酒[600132],"银华富裕主题混合,天弘中证食品饮料指数A,广发稳健增长混合A类"
康龙化成[300759],"中欧医疗健康混合A,鹏华新兴产业混合,工银养老产业股票"
赣锋锂业[002460],"中欧新蓝筹混合A,银华中小盘精选混合,中欧时代先锋"
洋河股份[002304],"天弘中证食品饮料指数A,招商中证白酒指数,易方达蓝筹精选混合"
雅克科技[002409],"富国互联科技股票,富国高新技术产业,富国创新科技混合"
爱尔眼科[300015],"前海开源国家比较优势,中欧医疗健康混合A,景顺长城鼎益混合(LOF)"
