Code,Managers,Name,Stock01,Stock02,Stock03,Stock04,Stock05,Stock06,Stock07,Stock08,Stock09,Stock10
1102,曲扬,前海开源国家比较优势,宁德时代[300750](9.37%),贵州茅台[600519](9.01%),药明康德[603259](8.59%),比亚迪[002594](8.42%),迈瑞医疗[300760](8.25%),中国中免[601888](8.22%),五粮液[000858](8.1%),亿纬锂能[300014](8.05%),爱尔眼科[300015](6.74%),通策医疗[600763](5.36%)
3095,葛兰,中欧医疗健康混合A,爱尔眼科[300015](10.35%),药明康德[603259](9.89%),通策医疗[600763](8.03%),凯莱英[002821](6.55%),康龙化成[300759](6.43%),泰格医药[300347](6.16%),迈瑞医疗[300760](5.81%),智飞生物[300122](5.14%),长春高新[000661](4.74%),博腾股份[300363](4.44%)
161005,朱少醒,富国天惠成长LOF,韦尔股份[603501](4.19%),贵州茅台[600519](4.06%),五粮液[000858](3.34%),宁波银行[002142](3.2%),伊利股份[600887](2.98%),亿纬锂能[300014](2.8%),国瓷材料[300285](2.62%),杰瑞股份[002353](2.62%),青岛啤酒[600600](2.46%),智飞生物[300122](2.29%)
6751,许炎,富国互联科技股票,宁德时代[300750](9.62%),韦尔股份[603501](5.49%),北方华创[002371](5.27%),恩捷股份[002812](5.17%),璞泰来[603659](5.06%),雅克科技[002409](3.6%),三安光电[600703](3.44%),宝信软件[600845](3.41%),金山办公[688111](3.39%),比亚迪[002594](3.32%)
9549,胡昕炜,汇添富中盘价值精选混合C,李宁[02331](10.88%),山西汾酒[600809](8.59%),韦尔股份[603501](7.35%),青岛啤酒股份[00168](5.08%),伊利股份[600887](4.54%),泸州老窖[000568](4.53%),酒鬼酒[000799](4.08%),百润股份[002568](3.25%),康龙化成[03759](2.75%),芒果超媒[300413](2.35%)
1216,张清华,易方达新收益A,隆基股份[601012](7.09%),福斯特[603806](7.04%),长春高新[000661](6.49%),海康威视[002415](6.28%),扬农化工[600486](5.18%),金域医学[603882](4.66%),贝达药业[300558](4.39%),药明康德[603259](3.26%),华鲁恒升[600426](3.06%),柏楚电子[688188](2.85%)
110022,萧楠王元春,易方达消费行业,五粮液[000858](9.58%),泸州老窖[000568](9.47%),贵州茅台[600519](9.36%),山西汾酒[600809](9.35%),牧原股份[002714](7.26%),美的集团[000333](6.66%),古井贡酒[000596](5.95%),福耀玻璃[600660](5.81%),百润股份[002568](5.43%),顺鑫农业[000860](4.61%)
180012,焦巍,银华富裕主题混合,重庆啤酒[600132](9.53%),山西汾酒[600809](8.32%),药明康德[603259](8.23%),片仔癀[600436](8.22%),泰格医药[300347](7.69%),贵州茅台[600519](7.46%),贝泰妮[300957](6.47%),通策医疗[600763](6.09%),酒鬼酒[000799](5.78%),康希诺[688185](5.28%)
166002,周蔚文,中欧新蓝筹混合A,恒力石化[600346](5.26%),贵州茅台[600519](4.06%),宁波银行[002142](3.51%),隆基股份[601012](3.18%),紫金矿业[601899](3.07%),招商银行[600036](3.05%),五粮液[000858](3.01%),福耀玻璃[600660](2.94%),春秋航空[601021](2.91%),赣锋锂业[002460](2.8%)
1631,沙川,天弘中证食品饮料指数A,五粮液[000858](9.76%),伊利股份[600887](9.72%),贵州茅台[600519](9.27%),泸州老窖[000568](7.5%),海天味业[603288](7.07%),山西汾酒[600809](6.77%),洋河股份[002304](5.42%),酒鬼酒[000799](2.52%),重庆啤酒[600132](2.08%),双汇发展[000895](1.91%)
991,杜洋,工银战略转型股票,中国建筑[601668](9.12%),南京银行[601009](4.92%),光大银行[601818](4.76%),兴业银行[601166](4.6%),潞安环能[601699](4.56%),招商银行[600036](3.86%),坚朗五金[002791](3.84%),华夏航空[002928](2.94%),兖州煤业[600188](2.88%),顺络电子[002138](2.46%)
100060,李元博,富国高新技术产业,宁德时代[300750](9.65%),科沃斯[603486](9.33%),三环集团[300408](6.21%),顺络电子[002138](5.93%),分众传媒[002027](5.67%),杰瑞股份[002353](4.83%),雅克科技[002409](4.48%),比亚迪[002594](4.31%),天赐材料[002709](3.25%),海康威视[002415](3.16%)
519736,王崇,交银新成长混合,荣盛石化[002493](9.72%),海康威视[002415](7.96%),桐昆股份[601233](7.14%),视源股份[002841](6.3%),绝味食品[603517](5.88%),中公教育[002607](5.57%),顺丰控股[002352](4.97%),顾家家居[603816](4.85%),贵州茅台[600519](4.67%),紫光国微[002049](4.18%)
206009,梁浩,鹏华新兴产业混合,安井食品[603345](8.93%),长亮科技[300348](6.06%),壹网壹创[300792](5.31%),麦格米特[002851](5.26%),密尔克卫[603713](5.01%),康龙化成[300759](4.3%),迈克生物[300463](4.12%),隆基股份[601012](3.96%),博思软件[300525](3.69%),绿盟科技[300369](3.52%)
163417,谢治宇杨世进,兴全合宜混合（LOF）A,海尔智家[600690](6.31%),腾讯控股[00700](5.39%),海康威视[002415](4.1%),锦江酒店[600754](3.47%),平安银行[000001](3.45%),万华化学[600309](3.19%),晶晨股份[688099](3.05%),华润啤酒[00291](2.96%),芒果超媒[300413](2.91%),兴业银行[601166](2.9%)
1875,曲扬范洁,前海开源沪港深优势精选,腾讯控股[00700](9.8%),宁德时代[300750](9.72%),贵州茅台[600519](9.71%),碧桂园服务[06098](9.69%),五粮液[000858](9.61%),药明生物[02269](9.52%),中国中免[601888](9%),亿纬锂能[300014](8.31%),金山软件[03888](4.74%),比亚迪股份[01211](3.34%)
519772,杨浩,交银新生活力混合,海康威视[002415](9.29%),芒果超媒[300413](8.41%),视源股份[002841](8.25%),顺丰控股[002352](7.71%),美的集团[000333](6.84%),中天科技[600522](6.27%),三环集团[300408](6.16%),顾家家居[603816](6.06%),绝味食品[603517](6%),荣盛石化[002493](5.38%)
270002,傅友兴,广发稳健增长混合A类,三环集团[300408](4.63%),分众传媒[002027](4.31%),紫金矿业[601899](3.18%),我武生物[300357](2.35%),华测检测[300012](2.35%),巨星科技[002444](2.31%),双汇发展[000895](2.28%),欧派家居[603833](2.08%),迈瑞医疗[300760](2.01%),重庆啤酒[600132](2%)
161903,黄兴亮,万家行业优选混合,兆易创新[603986](9.13%),圣邦股份[300661](8.84%),比亚迪[002594](8.78%),中微公司[688012](7.74%),深信服[300454](7.56%),华大基因[300676](6.91%),思瑞浦[688536](5.96%),用友网络[600588](5.82%),安恒信息[688023](5.33%),华测检测[300012](4.65%)
162605,刘彦春,景顺长城鼎益混合(LOF),泸州老窖[000568](9.79%),中国中免[601888](9.69%),五粮液[000858](9.39%),贵州茅台[600519](9.34%),迈瑞医疗[300760](8.15%),药明康德[603259](7.23%),爱尔眼科[300015](5.09%),海康威视[002415](5.08%),古井贡酒[000596](4.71%),海大集团[002311](4.5%)
162703,刘格菘,广发小盘成长混合（LOF）,隆基股份[601012](10.86%),亿纬锂能[300014](9.65%),龙佰集团[002601](8.7%),京东方A[000725](8.24%),康泰生物[300601](8.03%),圣邦股份[300661](7.72%),健帆生物[300529](5.53%),高德红外[002414](5.02%),小康股份[601127](4.58%),恒力石化[600346](3.52%)
519066,雷鸣,汇添富蓝筹稳健混合,五粮液[000858](9.39%),中国中免[601888](8.52%),贵州茅台[600519](8.22%),百润股份[002568](7.17%),安井食品[603345](6.54%),东方雨虹[002271](5.23%),立讯精密[002475](4.84%),良信股份[002706](4.8%),迈瑞医疗[300760](3.78%),密尔克卫[603713](2.72%)
1171,赵蓓,工银养老产业股票,药明康德[603259](9.8%),博腾股份[300363](8.77%),泰格医药[300347](8.06%),九洲药业[603456](5.91%),美迪西[688202](4.52%),康龙化成[300759](4.52%),昭衍新药[603127](4.47%),泰和新材[002254](4.23%),杭氧股份[002430](4.21%),凯莱英[002821](3.88%)
180031,李晓星张萍杜宇,银华中小盘精选混合,宁德时代[300750](7.77%),汇川技术[300124](7.55%),分众传媒[002027](7.46%),赣锋锂业[002460](7.07%),韦尔股份[603501](5.9%),恒生电子[600570](5.59%),广联达[002410](4.48%),兆易创新[603986](4.42%),通威股份[600438](4.31%),卓胜微[300782](3.68%)
118001,张坤,易方达亚洲精选,美团-W[03690](9.54%),招商银行[03968](9.48%),腾讯控股[00700](9.48%),香港交易所[00388](9.09%),邮储银行[01658](8.62%),阿里巴巴-SW[09988](6.55%),京东集团-SW[09618](6.49%),中国海外发展[00688](4.9%),唯品会[VIPS](4.02%),锦欣生殖[01951](3.11%)
163402,董承非童兰,兴全趋势,三安光电[600703](9.05%),紫金矿业[601899](8.54%),海康威视[002415](5.99%),万科A[000002](4.22%),保利地产[600048](3.98%),北新建材[000786](3.4%),中国平安[601318](3.18%),欧派家居[603833](3.1%),紫光国微[002049](2.97%),妙可蓝多[600882](2.62%)
110011,张坤,易方达中小盘混合,通策医疗[600763](8.31%),贵州茅台[600519](7.88%),恒生电子[600570](7.15%),华兰生物[002007](7.03%),天坛生物[600161](5.92%),美年健康[002044](5.71%),五粮液[000858](5.5%),百润股份[002568](5.48%),苏泊尔[002032](5.13%),中炬高新[600872](4.98%)
1691,黄亮王士聪,南方香港成长,满帮集团[YMM UN](5.66%),李宁[02331](4.91%),安踏体育[02020](4.32%),新高教集团[02001](4.05%),华夏视听教育[01981](4.02%),中教控股[00839](3.85%),华住集团-S[02943](3.67%),海吉亚医疗[06078](3.38%),周黑鸭[01458](3.12%),康方生物-B[09926](3.08%)
